X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-7874760.92754401,-3955194.60392194,111,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,CORONA SUECA,DINAR JORDANO,NULL,-33.450054,-70.740181,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131240230,CORONA SUECA - DINAR JORDANO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-7874716.73370616,-3964310.50884615,112,2019,13,REGION METROPOLITANA,MAIPU,URBANA,CAMINO A MELIPILLA,NULL,13120,-33.518353,-70.739784,1,13119,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131190392,- CAMINO A MELIPILLA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,1,0,1
-7874711.61300958,-3958852.5685881,113,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LAS PARCELAS,NULL,3066,-33.477467,-70.739738,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131191764,- LAS PARCELAS,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-7874701.48293592,-3953516.72794679,114,2019,13,REGION METROPOLITANA,LO PRADO,URBANA,NICARAGUA,NULL,8131,-33.437477,-70.739647,1,13117,1,URBANA,1,TRAMO DE VIA RECTA,131170323,- NICARAGUA,1,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,2,1
-7874694.69244698,-3954854.65996652,115,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,TTE CRUZ,NULL,720,-33.447506,-70.739586,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241328,- TTE CRUZ,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,0,1
-7874679.44167674,-3942015.74164004,116,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,LAS TORRES,STA LUISA,NULL,-33.351219,-70.739449,1,13125,1,URBANA,1,TRAMO DE VIA RECTA,131250357,LAS TORRES - STA LUISA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,2,1
-7874648.82881678,-3955222.08805327,117,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,TTE CRUZ,CORONA SUECA,NULL,-33.45026,-70.739174,1,13124,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131241328,CORONA SUECA - TTE CRUZ,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,2
-7874595.28414171,-3955759.5093323,118,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,CLAUDIO ARRAU,TTE CRUZ,NULL,-33.454288,-70.738693,1,13124,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131240208,CLAUDIO ARRAU - TTE CRUZ,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,2,2
-7874556.21100044,-3962329.19448848,119,2019,13,REGION METROPOLITANA,CERRILLOS,URBANA,AMERICO VESPUCIO,NULL,1501,-33.503513,-70.738342,1,13102,1,URBANA,26,OTROS NO CONSIDERADOS,131020033,- AMERICO VESPUCIO,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,0,1
-7874541.85078612,-3962222.26124165,120,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LUMEN,AMERICO VESPUCIO,NULL,-33.502712,-70.738213,1,13119,1,URBANA,14,CRUCE CON SEÑAL PARE,131192125,AMERICO VESPUCIO - LUMEN,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-7874513.79827445,-3944758.68606468,121,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,AMERICO VESPUCIO,GRAL SAN MARTIN,NULL,-33.371799,-70.737961,1,13125,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131250022,AMERICO VESPUCIO - GRAL SAN MARTIN,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7874512.12848209,-3944077.42099657,122,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,GRAL SAN MARTIN,SAN LUIS,NULL,-33.366688,-70.737946,1,13125,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131250272,GRAL SAN MARTIN - SAN LUIS,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7874498.43618471,-3957044.32488439,123,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,TTE CRUZ,QUINE,NULL,-33.463917,-70.737823,1,13124,1,URBANA,26,OTROS NO CONSIDERADOS,131241328,QUINE - TTE CRUZ,1,0,1,UNIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-7874485.74576276,-3953378.39441155,124,2019,13,REGION METROPOLITANA,LO PRADO,URBANA,SAN FRANCISCO,ESTADOS UNIDOS,NULL,-33.43644,-70.737709,1,13117,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131170409,ESTADOS UNIDOS - SAN FRANCISCO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-7874479.84582976,-3957015.76891198,125,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,TTE CRUZ,LAGO RINIHUE SUR,NULL,-33.463703,-70.737656,1,13124,1,URBANA,1,TRAMO DE VIA RECTA,131241328,LAGO RINIHUE SUR - TTE CRUZ,3,3,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,1,0,1
-7874403.36933958,-3958020.60791831,126,2019,13,REGION METROPOLITANA,MAIPU,URBANA,LOS PAJARITOS,TTE CRUZ,NULL,-33.471233,-70.736969,1,13119,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131192034,LOS PAJARITOS - TTE CRUZ,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,1,2
-7874394.01850235,-3943115.90698416,127,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,STA LUISA,LO BASCUNAN,NULL,-33.359474,-70.736885,1,13125,1,URBANA,1,TRAMO DE VIA RECTA,131250686,LO BASCUNAN - STA LUISA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7874256.42761172,-3942914.12444839,128,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,LO MARCOLETA,NULL,157,-33.35796,-70.735649,1,13125,1,URBANA,1,TRAMO DE VIA RECTA,131250382,- LO MARCOLETA,3,3,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,0,1
-7874157.01930645,-3953899.98850759,129,2019,13,REGION METROPOLITANA,LO PRADO,URBANA,LOS MAITENES,QUEBEC,NULL,-33.44035,-70.734756,1,13117,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131170279,LOS MAITENES - QUEBEC,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,1,0,1
-7874131.63846255,-3943160.15567134,130,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,RAVEL,NULL,229,-33.359806,-70.734528,1,13125,1,URBANA,1,TRAMO DE VIA RECTA,131250640,- RAVEL,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7874084.88427642,-3954893.35010146,131,2019,13,REGION METROPOLITANA,LO PRADO,URBANA,TUPUNGATO,CONSUL EDUARDO LLANOS,NULL,-33.447796,-70.734108,1,13117,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131170455,CONSUL EDUARDO LLANOS - TUPUNGATO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7874074.64288327,-3942423.01055386,132,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,LAS TORRES,LO OVALLE,NULL,-33.354275,-70.734016,1,13125,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131250357,LAS TORRES - LO OVALLE,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,2
-7874070.41274261,-3942904.39526027,133,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,LO MARCOLETA,LO OVALLE,NULL,-33.357887,-70.733978,1,13125,1,URBANA,14,CRUCE CON SEÑAL PARE,131250382,LO MARCOLETA - LO OVALLE,3,3,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-7874055.16197238,-3957756.51229067,134,2019,13,REGION METROPOLITANA,PUDAHUEL,URBANA,LOS PAJARITOS,DIAG DE LOS LAGOS,NULL,-33.469254,-70.733841,1,13124,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131240808,DIAG DE LOS LAGOS - LOS PAJARITOS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-7873982.13638642,-3957779.86562761,135,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,LOS PAJARITOS,STA CORINA,NULL,-33.469429,-70.733185,1,13106,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131060431,LOS PAJARITOS - STA CORINA,4,4,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,0,0,0,1
-7873962.54415604,-3952210.56241933,136,2019,13,REGION METROPOLITANA,CERRO NAVIA,URBANA,ROMA,FLORENCIA,NULL,-33.427685,-70.733009,1,13103,1,URBANA,14,CRUCE CON SEÑAL PARE,131030580,FLORENCIA - ROMA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-7873950.74429002,-3950783.4462468,137,2019,13,REGION METROPOLITANA,CERRO NAVIA,URBANA,SANTOS LUIS MEDEL,FANALOZA,NULL,-33.416985,-70.732903,1,13103,1,URBANA,16,CRUCE SIN SEÑALIZACION,131030610,FANALOZA - SANTOS LUIS MEDEL,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-7873948.96317816,-3951644.22966243,138,2019,13,REGION METROPOLITANA,CERRO NAVIA,URBANA,MAPOCHO,SANTOS LUIS MEDEL,NULL,-33.423439,-70.732887,1,13103,1,URBANA,16,CRUCE SIN SEÑALIZACION,131030426,MAPOCHO - SANTOS LUIS MEDEL,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7873920.91066648,-3948716.97362421,139,2019,13,REGION METROPOLITANA,RENCA,URBANA,BRASIL,CAMINO LO BOZA,NULL,-33.401489,-70.732635,1,13128,1,URBANA,2,TRAMO DE VIA CURVA HORIZONTAL,131280101,BRASIL - CAMINO LO BOZA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-7873875.9375922,-3952439.05071696,140,2019,13,REGION METROPOLITANA,CERRO NAVIA,URBANA,JOSE JOAQUIN PEREZ,EL PEUMO,NULL,-33.429398,-70.732231,1,13103,1,URBANA,1,TRAMO DE VIA RECTA,131030268,EL PEUMO - JOSE JOAQUIN PEREZ,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,1,0,1
-7873773.18970219,-3949918.59273159,141,2019,13,REGION METROPOLITANA,RENCA,URBANA,HUARA,LAUCA,NULL,-33.4105,-70.731308,1,13128,1,URBANA,1,TRAMO DE VIA RECTA,131280296,HUARA - LAUCA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7873740.90704987,-3957867.94149409,142,2019,13,REGION METROPOLITANA,MAIPU,URBANA,STA CORINA,LAS TORRES,NULL,-33.470089,-70.731018,1,13119,1,URBANA,1,TRAMO DE VIA RECTA,131192959,LAS TORRES - STA CORINA,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-7873739.23725751,-3954476.57076681,143,2019,13,REGION METROPOLITANA,LO PRADO,URBANA,SAN PABLO,LAS TORRES,NULL,-33.444672,-70.731003,1,13117,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131170415,LAS TORRES - SAN PABLO,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
