X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-7853606.8239259,-3953174.58162163,586,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131130471,VALENZUELA PUELMA,131130476,VICENTE PEREZ ROSALES, ,VALENZUELA PUELMA - VICENTE PEREZ ROSALES,VALENZUELA PUELMA @ VICENTE PEREZ ROSALES,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7853407.05779418,-3959933.75300821,587,3,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131220330,CONSISTORIAL,131220479,FRANCISCO OTTA, ,CONSISTORIAL - FRANCISCO OTTA,CONSISTORIAL @ FRANCISCO OTTA,CONCRETO,0,0,0,3,BICICLETA,PARTICULAR
-7853377.1435061,-3959888.42588455,588,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131220330,CONSISTORIAL, , ,2760,- CONSISTORIAL,2760 CONSISTORIAL,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-7853309.75316479,-3956955.12957362,589,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131130205,JOSE ARRIETA,131130203,JORGE ALESSANDRI, ,JORGE ALESSANDRI - JOSE ARRIETA,JOSE ARRIETA @ JORGE ALESSANDRI,MIXTO,0,0,0,1,BICICLETA,PARTICULAR
-7853074.64216563,-3956205.51235393,590,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131130204,JORGE ALESSANDRI,131130266,LOS CANTEROS, ,JORGE ALESSANDRI - LOS CANTEROS,JORGE ALESSANDRI @ LOS CANTEROS,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-7853033.74518278,-3963005.7271251,591,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131221193,QUEB DE MACUL, , ,8600,- QUEB DE MACUL,8600 QUEB DE MACUL,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7852988.63848729,-3948173.97226074,592,1,LAS CONDES,2016,1,13114,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131140918,PADRE HURTADO CENTRAL, , ,441,- PADRE HURTADO CENTRAL,441 PADRE HURTADO CENTRAL,CONCRETO,0,0,1,0,BICICLETA,PARTICULAR
-7852968.40293424,-3948334.75354082,593,1,LAS CONDES,2016,1,13114,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131140825,MARIA ESTUARDO,131140918,PADRE HURTADO CENTRAL, ,MARIA ESTUARDO - PADRE HURTADO CENTRAL,MARIA ESTUARDO @ PADRE HURTADO CENTRAL,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7852927.39052218,-3941121.15956892,594,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131150202,CAMINO LOS TRAPENSES, , ,3515,- CAMINO LOS TRAPENSES,3515 CAMINO LOS TRAPENSES,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7852894.27294812,-3956565.36781148,595,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131130203,JORGE ALESSANDRI, , ,1131,- JORGE ALESSANDRI,1131 JORGE ALESSANDRI,CONCRETO,0,0,1,0,BICICLETA,PARTICULAR
-7852837.87491234,-3946935.49155602,596,1,LAS CONDES,2016,1,13114,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131140944,PDTE KENNEDY, , ,9351,- PDTE KENNEDY,9351 PDTE KENNEDY,ASFALTO,0,0,0,1,BICICLETA,CARABINEROS
