X,Y,FID,DIR_GEOCOD,LAT,LNG,VAL_COM,Año,Cód_Regi,Región,Comuna,Zona,Calle_Uno,Calle_Dos,Número,Direccion,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7861627.81024259,-3952511.50632489,158,"Miguel Claro & Avenida Providencia, Providencia, Región Metropolitana, Chile",-33.4299412,-70.6222042,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,PROVIDENCIA,JOSE MIGUEL CLARO,0,PROVIDENCIA-JOSE MIGUEL CLARO,0,1,0,0,BICICLETA,0,1,0,0,1
-7861591.62027613,-3955187.7328993,159,"Av. Salvador 1837, Ñuñoa, Región Metropolitana, Chile",-33.4500025,-70.6218791,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,SALVADOR, ,1837,"SALVADOR  1837, ÑUÑOA",0,0,1,0,BICICLETA,0,0,1,0,1
-7861571.58276778,-3957820.48720148,160,"Lo Encalada & Vía Doce, Ñuñoa, Región Metropolitana, Chile",-33.4697334,-70.6216991,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,LO ENCALADA,VIA 12,0,VIA 12-LO ENCALADA,0,1,0,0,BICICLETA,0,1,0,0,1
-7861547.63794532,-3953696.15047211,161,"José Manuel Infante 820, Providencia, Región Metropolitana, Chile",-33.438822,-70.621484,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,JOSE MANUEL INFANTE, ,820,"JOSE MANUEL INFANTE  820, PROVIDENCIA",0,0,0,0,BICICLETA,0,0,0,0,1
-7861486.37882954,-3956395.57460222,162,"Suárez Mujica & Av. Salvador, Ñuñoa, Región Metropolitana, Chile",-33.4590551,-70.6209337,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,SALVADOR,SUAREZ MUJICA,0,SUAREZ MUJICA-SALVADOR,0,1,0,1,BICICLETA,0,1,0,1,1
-7861453.32807272,-3955789.87678125,163,"República de Israel & Avenida Salvador, Ñuñoa, Región Metropolitana, Chile",-33.4545156,-70.6206368,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,SALVADOR,REP DE ISRAEL,0,SALVADOR-REP DE ISRAEL,0,0,0,1,BICICLETA,0,0,0,1,1
-7861442.75272109,-3963357.99361506,164,"PH673-Avenida Haydn / Esq. Varas Mena, San Joaquín, Región Metropolitana, Chile",-33.511219,-70.6205418,1,2020,13,REGION METROPOLITANA,SAN JOAQUIN,URBANA,HAYDN,VARAS MENA,0,VARAS MENA-HAYDN,0,0,0,0,BICICLETA,0,0,0,0,1
-7861431.82114709,-3962894.18157828,165,"Avenida Departamental & Mark Twain, San Joaquín, Región Metropolitana, Chile",-33.507745,-70.6204436,1,2020,13,REGION METROPOLITANA,SAN JOAQUIN,URBANA,DEPARTAMENTAL,MARK TWAIN,0,MARK TWAIN-DEPARTAMENTAL,0,0,0,0,BICICLETA,0,0,0,0,1
-7861431.45379277,-3956682.21635617,166,"Av. Grecia 1098, Ñuñoa, Región Metropolitana, Chile",-33.4612033,-70.6204403,1,2020,13,REGION METROPOLITANA,ÑUÑOA,URBANA,GRECIA, ,1098,"GRECIA  1098, ÑUÑOA",0,0,0,1,BICICLETA,0,0,0,1,1
-7861419.90996157,-3953284.61668711,167,"Román Díaz & Valenzuela Castillo, Providencia, Región Metropolitana, Chile",-33.435737,-70.6203366,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,ROMAN DIAZ,VALENZUELA CASTILLO,0,VALENZUELA CASTILLO-ROMAN DIAZ,0,0,0,1,BICICLETA,0,0,0,1,1
-7861388.2506984,-3964459.82880531,168,"La Castrina & Pasaje 8, La Granja, Región Metropolitana, Chile",-33.5194713,-70.6200522,1,2020,13,REGION METROPOLITANA,LA GRANJA,URBANA,LA CASTRINA,PSJE 8,0,PSJE 8-LA CASTRINA,1,0,0,0,BICICLETA,1,0,0,0,1
-7861346.89550757,-3953017.21427787,169,"Eliodoro Yañez & Miguel Claro, Providencia, Región Metropolitana, Chile",-33.4337324,-70.6196807,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,JOSE MIGUEL CLARO,ELIODORO YANEZ,0,JOSE MIGUEL CLARO-ELIODORO YANEZ,0,0,0,1,BICICLETA,0,0,0,1,1
-7861346.76192418,-3953855.8188485,170,"Av. Francisco Bilbao & Diag. Rancagua, Providencia, Región Metropolitana, Chile",-33.4400189,-70.6196795,1,2020,13,REGION METROPOLITANA,PROVIDENCIA,URBANA,RANCAGUA,FRANCISCO BILBAO,0,RANCAGUA-FRANCISCO BILBAO,0,0,0,2,BICICLETA,0,0,0,1,1
