X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,TIPO,Año,Claseaccid,Cód_Regi,Cód_Zona,Zona,Cód_Calle,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7861631.47265383,-3959758.82524103,209,-70.6222371,-33.4842572,REGION METROPOLITANA,13129,SAN JOAQUIN,VICUNA MACKENNA, ,3361,"VICUNA MACKENNA 3361, SAN JOAQUIN",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131290636,0,0,0,1,1,1
-7861584.35111338,-3959044.52592081,210,-70.6218138,-33.4789053,REGION METROPOLITANA,13129,SAN JOAQUIN,VICUNA MACKENNA,JUAN SEBASTIAN BACH,0,"VICUNA MACKENNA & JUAN SEBASTIAN BACH, SAN JOAQUIN",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131290636,0,0,0,1,0,1
-7861578.71834715,-3953009.15735212,211,-70.6217632,-33.433672,REGION METROPOLITANA,13123,PROVIDENCIA,BRAVO,ELIODORO YANEZ,0,"BRAVO & ELIODORO YANEZ, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230070,0,0,0,1,1,1
-7861559.44894329,-3958004.72731348,212,-70.6215901,-33.471114,REGION METROPOLITANA,13120,NUNOA,GUILLERMO MANN,LO ENCALADA,0,"GUILLERMO MANN & LO ENCALADA, ??ªU??ªOA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131200265,0,0,0,0,2,1
-7861522.94728226,-3952232.66409678,213,-70.6212622,-33.4278507,REGION METROPOLITANA,13123,PROVIDENCIA,PEREZ VALENZUELA,MANUEL MONTT,0,"PEREZ VALENZUELA & MANUEL MONTT, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230425,0,0,0,0,2,1
-7861520.48712151,-3951856.27442043,214,-70.6212401,-33.4250288,REGION METROPOLITANA,13123,PROVIDENCIA,ANDRES BELLO, ,1515,"ANDRES BELLO 1515, PROVIDENCIA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131230035,0,0,1,0,1,1
-7861490.69802578,-3979067.28427804,215,-70.6209725,-33.6288008,REGION METROPOLITANA,13201,PUENTE ALTO,SAN PEDRO,ICHUAC,0,"SAN PEDRO & ICHUAC, PUENTE ALTO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,132012599,0,0,0,1,1,1
-7861463.33569494,-3956362.23004229,216,-70.6207267,-33.4588052,REGION METROPOLITANA,13120,NUNOA,SALVADOR, ,2812,"SALVADOR 2812, ??ªU??ªOA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131200648,0,0,0,1,1,1
-7861461.09817317,-3951914.06789396,217,-70.6207066,-33.4254621,REGION METROPOLITANA,13123,PROVIDENCIA,CALDERON,DR CARLOS CHARLIN,0,"CALDERON & DR CARLOS CHARLIN, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230077,0,0,0,0,2,1
-7861452.77147526,-3970177.90058411,218,-70.6206318,-33.5622847,REGION METROPOLITANA,13112,LA PINTANA,GRAL ARRIAGADA,PABLO NERUDA,0,"GRAL ARRIAGADA & PABLO NERUDA, LA PINTANA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131120253,0,0,0,0,2,1
-7861419.6873226,-3952362.83409593,219,-70.6203346,-33.4288266,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,MANUEL MONTT,0,"PROVIDENCIA & MANUEL MONTT, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230437,0,0,0,1,1,1
-7861365.12964016,-3954379.14209011,220,-70.6198445,-33.4439417,REGION METROPOLITANA,13123,PROVIDENCIA,JOSE MANUEL INFANTE,LOS JESUITAS,0,"JOSE MANUEL INFANTE & LOS JESUITAS, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230266,0,0,0,1,0,1
-7861346.89550757,-3953017.21427787,221,-70.6196807,-33.4337324,REGION METROPOLITANA,13123,PROVIDENCIA,JOSE MIGUEL CLARO,ELIODORO YANEZ,0,"JOSE MIGUEL CLARO & ELIODORO YANEZ, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230268,0,0,0,2,1,1
-7861325.13254712,-3954520.38258753,222,-70.6194852,-33.4450004,REGION METROPOLITANA,13123,PROVIDENCIA,JOSE MANUEL INFANTE,STA ISABEL,0,"JOSE MANUEL INFANTE & STA ISABEL, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230266,0,0,0,0,4,2
-7861194.06497866,-3953815.33125411,223,-70.6183078,-33.4397154,REGION METROPOLITANA,13123,PROVIDENCIA,FRANCISCO BILBAO,JOSE MIGUEL CLARO,0,"FRANCISCO BILBAO & JOSE MIGUEL CLARO, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230205,0,0,0,1,3,2
-7861168.99582933,-3953962.95490919,224,-70.6180826,-33.440822,REGION METROPOLITANA,13123,PROVIDENCIA,JOSE MIGUEL CLARO,ELENA BLANCO,0,"JOSE MIGUEL CLARO & ELENA BLANCO, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230268,0,0,0,2,0,1
-7861163.80834106,-3953459.19326792,225,-70.618036,-33.4370457,REGION METROPOLITANA,13123,PROVIDENCIA,ALBERTO DECOMBE,STA MARIA,0,"ALBERTO DECOMBE & STA MARIA, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230009,0,0,0,1,1,1
-7861141.73368604,-3954103.87015463,226,-70.6178377,-33.4418783,REGION METROPOLITANA,13123,PROVIDENCIA,JOSE MIGUEL CLARO,CLEMENTE FABRES,0,"JOSE MIGUEL CLARO & CLEMENTE FABRES, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230268,0,0,0,1,1,1
-7861134.44225939,-3955585.47176413,227,-70.6177722,-33.4529836,REGION METROPOLITANA,13120,NUNOA,JOSE MANUEL INFANTE,IRARRAZAVAL,0,"JOSE MANUEL INFANTE & IRARRAZAVAL, ??ªU??ªOA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131200312,0,1,0,0,1,1
-7861110.30819379,-3954254.89937118,228,-70.6175554,-33.4430104,REGION METROPOLITANA,13123,PROVIDENCIA,JOSE MIGUEL CLARO,MANUEL ANTONIO MAIRA,0,"JOSE MIGUEL CLARO & MANUEL ANTONIO MAIRA, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230268,0,0,0,1,1,1
-7861091.59538738,-3952955.97377929,229,-70.6173873,-33.4332733,REGION METROPOLITANA,13123,PROVIDENCIA,ELIODORO YANEZ,MANUEL MONTT,0,"ELIODORO YANEZ & MANUEL MONTT, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230183,0,0,0,0,2,1
-7861087.20939945,-3956736.04420516,230,-70.6173479,-33.4616067,REGION METROPOLITANA,13120,NUNOA,GRECIA INT,GRECIA,0,"GRECIA INT & GRECIA, ??ªU??ªOA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131200258,0,0,0,0,2,1
-7861084.0924537,-3960738.78134047,231,-70.6173199,-33.491599,REGION METROPOLITANA,13118,MACUL,VICUNA MACKENNA,ESC AGRICOLA,0,"VICUNA MACKENNA & ESC AGRICOLA, MACUL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131180549,0,0,0,0,2,1
-7861074.10709538,-3954917.12458648,232,-70.6172302,-33.4479742,REGION METROPOLITANA,13123,PROVIDENCIA,RENGO, ,1440,"RENGO 1440, PROVIDENCIA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131230458,0,0,0,1,2,1
-7861042.4033044,-3954604.84488175,233,-70.6169454,-33.4456335,REGION METROPOLITANA,13123,PROVIDENCIA,STA ISABEL,JOSE MIGUEL CLARO,0,"STA ISABEL & JOSE MIGUEL CLARO, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230486,0,1,0,0,1,1
-7861040.14351874,-3952212.62986473,234,-70.6169251,-33.4277005,REGION METROPOLITANA,13123,PROVIDENCIA,ALC RAFAEL VIVES,PROVIDENCIA,0,"ALC RAFAEL VIVES & PROVIDENCIA, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230016,0,0,0,1,1,1
-7861023.23408809,-3954724.22179927,235,-70.6167732,-33.4465283,REGION METROPOLITANA,13123,PROVIDENCIA,JOSE MIGUEL CLARO,CAUPOLICAN,0,"JOSE MIGUEL CLARO & CAUPOLICAN, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230268,0,0,0,1,1,1
-7860939.72220609,-3955117.68872662,236,-70.616023,-33.4494775,REGION METROPOLITANA,13120,NUNOA,SUCRE, ,1501,"SUCRE 1501, ??ªU??ªOA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131200689,0,0,1,1,0,1
