X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7860801.01812057,-3951282.5167824,1038,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230489,STA MARIA,131230420,PEDRO DE VALDIVIA NORTE,0,0,1,0,1,BICICLETA,0,1,0,1,3
-7860793.3370757,-3962643.99248803,1039,2018,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131290636,VICUNA MACKENNA, , ,5365,0,1,0,0,BICICLETA,0,1,0,0,1
-7860790.77672741,-3951931.26060769,1040,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230437,PROVIDENCIA,131230089,CARLOS ANTUNEZ,0,0,0,0,3,BICICLETA,0,0,0,2,3
-7860743.24330484,-3952026.89471017,1041,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230203,FIDEL OTEIZA,131230089,CARLOS ANTUNEZ,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860728.77177103,-3953572.75549991,1042,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230018,ALFEREZ REAL,131230041,ANTONIO VARAS,0,0,0,0,2,BICICLETA,0,0,0,2,2
-7860720.31148974,-3955602.87006624,1043,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131200285,IRARRAZAVAL,131200157,DOMINGO FAUSTINO SARMIENTO,0,0,0,1,0,BICICLETA,0,0,1,0,1
-7860687.13828148,-3958450.3266807,1044,2018,1,13118,MACUL,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131180504,RODRIGO DE ARAYA,131180341,MARATHON,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860682.0175849,-3953719.22881291,1045,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230205,FRANCISCO BILBAO,131230041,ANTONIO VARAS,0,0,0,0,2,BICICLETA,0,0,0,2,2
-7860677.00820781,-3951806.55065652,1046,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230437,PROVIDENCIA,131230388,MONS NUNCIO SOTERO SANZ DE VILLALBA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860672.77806717,-3957933.0646873,1047,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131200265,GUILLERMO MANN,131200463,MARATHON,0,0,0,0,1,BICICLETA,0,0,0,1,1
