X,Y,FID,Año,Claseaccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,COd_Calle_,Calle_Dos,Número,Intersecci,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7869289.84175734,-3951370.54325427,341,2017,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131270739,RECOLETA,131270135,CARD JOSE MARIA CARO,0,CARD JOSE MARIA CARO - RECOLETA,0,1,0,0,BICICLETA,0,1,0,0,1
-7869272.45359185,-3951119.61626191,342,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131260069,CARRASCAL,131260097,COST SUR,0,CARRASCAL - COST SUR,0,0,1,0,BICICLETA,0,0,1,0,1
-7869236.08848229,-3952801.30023024,343,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260231,MAPOCHO,131260184,JULIO BANADOS,0,JULIO BANADOS - MAPOCHO,0,0,0,1,BICICLETA,0,0,0,0,1
-7869174.34225939,-3958956.42024552,344,2017,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131020020,ALC CARLOS VALDOVINOS,0, ,4046,ALC CARLOS VALDOVINOS  4046,1,0,0,1,BICICLETA,1,0,0,0,1
-7869167.56317041,-3954437.45796073,345,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131060564,PORTALES,131060351,LAS ACACIAS,0,LAS ACACIAS - PORTALES,0,0,0,1,BICICLETA,0,0,0,0,1
-7869164.82620647,-3968425.37730632,346,2017,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131050563,LUIS BARROS BORGONO,131050641,OCHAGAVIA,0,LUIS BARROS BORGONO - OCHAGAVIA,0,0,0,1,BICICLETA,0,0,0,0,1
-7869145.31156045,-3958796.90799066,347,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131060544,PEDRO AGUIRRE CERDA,131060462,MANUEL CHACON,0,MANUEL CHACON - PEDRO AGUIRRE CERDA,0,0,0,1,BICICLETA,0,0,0,0,1
-7869099.63833075,-3972210.63606296,348,2017,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131050274,JUAN DE SAAVEDRA,131050386,LO BLANCO,0,JUAN DE SAAVEDRA - LO BLANCO,0,0,1,0,BICICLETA,0,0,1,0,1
-7869089.26551872,-3959195.42281276,349,2017,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131020084,BUZETA,131020058,AVDA 3,0,AVDA 3 - BUZETA,0,0,0,1,BICICLETA,0,0,0,0,1
-7869087.73230234,-3955652.16290738,350,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131060515,NICASIO RETAMALES,131060407,LIBER BERNARDO O`HIGGINS,0,LIBER BERNARDO O`HIGGINS - NICASIO RETAMALES,0,0,0,2,BICICLETA,0,0,0,0,2
-7869056.66972879,-3943685.87163093,351,2017,1,13107,HUECHURABA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131070028,CALLE 1,131070364,REAL AUDIENCIA,0,CALLE 1 - REAL AUDIENCIA,0,1,0,0,BICICLETA,0,1,0,0,1
-7869050.81847851,-3959004.45580523,352,2017,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131020056,AVDA 2,131020097,CARTAGENA,0,AVDA 2 - CARTAGENA,0,0,0,0,BICICLETA,0,0,0,0,1
-7869013.36064566,-3953188.00784629,353,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260399,VILLASANA,131260241,MARTINEZ DE ROZAS,0,MARTINEZ DE ROZAS - VILLASANA,0,1,0,0,BICICLETA,0,1,0,0,1
-7869010.59675159,-3960370.12345517,354,2017,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131020397,PEDRO AGUIRRE CERDA,0, ,4156,PEDRO AGUIRRE CERDA  4156,0,0,0,0,BICICLETA,0,0,0,0,1
-7869002.18103046,-3955688.82124876,355,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131060407,LIBER BERNARDO O`HIGGINS,131060256,GRAL VELASQUEZ,0,GRAL VELASQUEZ - LIBER BERNARDO O`HIGGINS,0,0,0,1,BICICLETA,0,0,0,0,1
-7868981.72052559,-3952689.83285913,356,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131260399,VILLASANA,0, ,1708,VILLASANA  1708,0,1,0,0,BICICLETA,0,0,0,0,1
-7868918.12373103,-3952869.44266025,357,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131260231,MAPOCHO,131010370,LOURDES,0,LOURDES - MAPOCHO,0,1,0,0,BICICLETA,0,1,0,0,1
-7868881.23243241,-3944136.028704,358,2017,1,13107,HUECHURABA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131070263,LOS LIBERTADORES,131070364,REAL AUDIENCIA,0,LOS LIBERTADORES - REAL AUDIENCIA,0,0,0,1,BICICLETA,0,0,0,0,1
